id,category,data,name
265,Antenna,Product_TA ProductsDB.Products.Pack_CountryFlags,International Flags
543,Antenna,Product_TA ProductsDB.Products.Pack_VideoGamesFlags,Video Games
1412,Body,Product_TA ProductsDB.Products.BlackMarketTest_Skin,Mystery Universal Decal
3138,Body,Product_TA ProductsDB.Products.body_genericmystery,Mystery Item
3315,Body,Product_TA ProductsDB.Products.Body_RocketPass_MysteryCertified,Random Certified Item
3316,Body,Product_TA ProductsDB.Products.Body_RocketPass_MysteryPainted,Random Painted Item
5364,Body,Product_TA ProductsDB.Products.Body_Giftbox_Mystery_BlackMarket,Black Market Drop
5365,Body,Product_TA ProductsDB.Products.Body_Giftbox_Mystery_Exotic,Exotic Drop
5366,Body,Product_TA ProductsDB.Products.Body_Giftbox_Mystery_Import,Import Drop
5367,Body,Product_TA ProductsDB.Products.Body_Giftbox_Mystery_Rare,Rare Drop
5368,Body,Product_TA ProductsDB.Products.Body_Giftbox_Mystery_Uncommon,Uncommon Drop
5369,Body,Product_TA ProductsDB.Products.Body_Giftbox_Mystery_VeryRare,Very Rare Drop
70,Bot,Product_TA ProductsDB.Products.Bot_Astro,Jester
71,Bot,Product_TA ProductsDB.Products.Bot_Bane,Rex
72,Bot,Product_TA ProductsDB.Products.Bot_Beast,Beast
73,Bot,Product_TA ProductsDB.Products.Bot_Blade,Swabbie
74,Bot,Product_TA ProductsDB.Products.Bot_C-Block,C-Block
75,Bot,Product_TA ProductsDB.Products.Bot_Captain,Heater
76,Bot,Product_TA ProductsDB.Products.Bot_Caveman,Caveman
77,Bot,Product_TA ProductsDB.Products.Bot_Cougar,Cougar
78,Bot,Product_TA ProductsDB.Products.Bot_Devil,Wolfman
79,Bot,Product_TA ProductsDB.Products.Bot_Diesel,Buzz
80,Bot,Product_TA ProductsDB.Products.Bot_Dotty,Slider
81,Bot,Product_TA ProductsDB.Products.Bot_Dude,Dude
82,Bot,Product_TA ProductsDB.Products.Bot_Duke,Stinger
83,Bot,Product_TA ProductsDB.Products.Bot_Dynamite,Gerwin
84,Bot,Product_TA ProductsDB.Products.Bot_Flame,Centice
85,Bot,Product_TA ProductsDB.Products.Bot_Flash,Maverick
