name,category,rarity,src
Polaris,Antennas,Common,https://rocket-league.com/content/media/items/avatar/220px/45c13300a01520351999.png
Gears of War - Cog Symbol,Antennas,Common,https://rocket-league.com/content/media/items/avatar/220px/bf2dfbf8511509568979.png
Gears of War - Cog Tag,Antennas,Common,https://rocket-league.com/content/media/items/avatar/220px/d099136ffb1509569075.png
Gears of War - Locust,Antennas,Common,https://rocket-league.com/content/media/items/avatar/220px/7023b719fc1509569124.png
Halo - Guilty Spark,Antennas,Common,https://rocket-league.com/content/media/items/avatar/220px/37f8fc10081509569155.png
Halo - New Mombasa Cavaliers,Antennas,Common,https://rocket-league.com/content/media/items/avatar/220px/f8dd6cced21509569207.png
Halo - Swords of Sanghelios,Antennas,Common,https://rocket-league.com/content/media/items/avatar/220px/f1da3df05e1509569259.png
Sunset Overdrive - Fizzie,Antennas,Common,https://rocket-league.com/content/media/items/avatar/220px/03e9dae1151509569313.png
Halo - Guilty SparkLE,Antennas,Limited,https://rocket-league.com/content/media/items/avatar/220px/57fbf4df921523031055.png
Nosgoth,Antennas,Common,https://rocket-league.com/content/media/items/avatar/220px/8bc4d345771447622271.png
Nosgoth - Human,Antennas,Common,https://rocket-league.com/content/media/items/avatar/220px/4f668985701447622118.png
Nosgoth - Vampire,Antennas,Common,https://rocket-league.com/content/media/items/avatar/220px/ec0cfaac871447622251.png
Luigi NSR,Bodies,Common,https://rocket-league.com/content/media/items/avatar/220px/687c2b1f771510607820.png
Luigi,Toppers,Common,https://rocket-league.com/content/media/items/avatar/220px/8b29a5d1711510619351.png
Mario,Toppers,Common,https://rocket-league.com/content/media/items/avatar/220px/6d1e0691e81510619367.png
Yonder's Crown,Toppers,Limited,https://rocket-league.com/content/media/items/avatar/220px/e616a9c52c1616688464.png
Top Llama ME,Toppers,Rare,https://rocket-league.com/content/media/items/avatar/220px/d179a265711616688719.png
Polycarb,Paint Finishes,Common,https://rocket-league.com/content/media/items/avatar/220px/79f8368a001612387857.png
NRG Esports (Legacy),Decals,Very Rare,https://rocket-league.com/content/media/items/avatar/220px/5850ccd4ee1555530245.png
Kaskade,Decals,Import,https://rocket-league.com/content/media/items/avatar/220px/94d7f0bdd21616688794.png
Yonder's Fleece,Decals,Limited,https://rocket-league.com/content/media/items/avatar/220px/e4e68551e81616688534.png
NRG Esports (Legacy),Decals,Very Rare,https://rocket-league.com/content/media/items/avatar/220px/5850ccd4ee1555530245.png
Kaskade,Decals,Import,https://rocket-league.com/content/media/items/avatar/220px/94d7f0bdd21616688794.png
Luigi NSR,Wheels,Common,https://rocket-league.com/content/media/items/avatar/220px/8b9234b01a1510607798.png
Dimonix,Wheels,Limited,https://rocket-league.com/content/media/items/avatar/220px/c3de9e00fe1575548445.png
Puma LE,Wheels,Limited,https://rocket-league.com/content/media/items/avatar/220px/be8ba5a47d1523031020.png
Umbrella Royale,Wheels,Limited,https://rocket-league.com/content/media/items/avatar/220px/25ff420da01616688576.png
Kaskade,Wheels,Import,https://rocket-league.com/content/media/items/avatar/220px/56127550c41616688905.png
Rhino 2,Wheels,Uncommon,https://rocket-league.com/content/media/items/avatar/220px/117aea5c2b1473421340.png
